"TRAAAGF12903CEC202","Halvdan Sivertsen","Små Ord"
"TRAAAGR128F425B14B","Cyndi Lauper","Into The Nightlife"
"TRAAAIR128F1480971","Paris Hilton","I Want You (Album Version)"
"TRAADCQ128F932EC14","A Fine Frenzy","The Beacon"
"TRAAEJV128F423CF04","The Crash","What If I Meet You"
"TRAAEMJ128F425A917","Eurythmics","Tous Les Garçons Et Les Filles"
"TRAAENM128EF33EDAA","Klee","Ich vermiss Dich"
"TRAAGJV128F1464090","Lesley Gore","It's My Party"
"TRAAGOZ128F92EB3D4","David Archuleta","You Can"
"TRAAGPH128F4273C8D","Savage Garden","You Can Still Be Free"
"TRAAJFB128F424F1E7","Toni Kater","Gut sein"
"TRAAKDG128F42A0ECB","Shakira Featuring Wyclef Jean","Hips Don't Lie (featuring Wyclef Jean)"
"TRAAKKM128F92EFEDA","Sebastian","Bear With Me"
"TRAAMFF12903CE8107","Maren Ord","Waiting"
"TRAANQG12903D00D4F","Girls Aloud","Not Tonight Santa"
"TRAANZE128F148BF55","Abba","The Name Of The Game"
"TRAAOGH128F92CA518","Ace of Base","C'est la vie (Always 21)"
"TRAAOIC128F9338C21","Genki Rockets","Star Surfer"
"TRAAPPQ12903D0129F","Richard Marx","Hold On To The Nights"
"TRAAQCK128F92E8C33","Lily Allen","U Killed It"
"TRAAQTM128F426B6E6","Weeping Willows","I'm Falling In Love"
"TRAAQXU128F92DC056","Tina Arena","Tu aurais dû me dire (oser parler d'amour)"
"TRAASZE128F93499AE","Agnes","I Need You Now"
"TRAATCV128F92D5BEA","La Quinta Estacion","Es Cierto"
"TRAATHI128EF343410","A-Ha","Celice"
"TRAATKF128E0786B4B","Holly Valance","Desire (Album mix)"
"TRAAUKD128F14613E4","Stacie Orrico","Security"
"TRAAWWS128F14830B4","Anne-Lie Rydé","Tema Från Stulna Kyssar"
"TRAAXPX128F42AA93D","Rachael Yamagata","Letter Read"
"TRAAYJA128F93272A8","Tarkan","Bounce"
"TRAAZHM128EF342709","Bananarama","Young at Heart"
