"TRAACPE128F421C1B9","Terry Callier","Do You Finally Need A Friend"
"TRAAEJQ128F92C484E","Raheem Devaughn","Four Letter Word"
"TRAAIHL128F92E6DDA","Boyz II Men","On Bended Knee"
"TRAAKZS128F426AEAF","Aretha Franklin","RUNNIN' OUT OF FOOLS"
"TRAANEJ128F9305484","THE FATBACK BAND","Party Time"
"TRAANIX128F92DF5E3","Colby O'Donis","Tell Me This"
"TRAAOIK128F424BFED","Marvin Gaye","What's Happening Brother"
"TRAAUFM128F92F38FA","Eric Roberson","Just A Dream"
"TRAAVDV128F931F2A3","Brick & Lace","Never Never"
"TRAAVRB128F426E323","Brick","Happy"
"TRAAVZX128F4234237","Betty Everett","Hands Off"
"TRAAYEJ128F930EE11","The Supremes","Happy (Is A Bumpy Road)"
"TRAAYSP12903CA7657","Lalah Hathaway","Better And Better"
"TRABAIQ128F42A236F","Whitney Houston","Unashamed"
"TRABAYJ128F92E34EC","Barry White","Can't Get Enough Of Your Love Babe"
"TRABBNH128F93392A1","Percy Sledge","When A Man Loves A Woman"
"TRABBZK128F9310F63","Barrett Strong","Money (That's What I Want)"
"TRABDGW128F92D188F","Mcfadden & Whitehead","I Got The Love"
"TRABEIU128F4266CC2","Brownstone","I Can't Tell You Why"
"TRABFCA128F93094B8","Frankie Lee Sims","She Likes To Boogie Real Low"
"TRABFQC128F4265349","Regina Belle","Quiet Time"
"TRABFUN128F1456BAC","Lamont Dozier","Trying To Hold On To My Woman"
"TRABFWK128F9322F59","Jill Scott","Exclusively"
"TRABJIX128C7196953","Amy Winehouse","Stronger Than Me"
"TRABJWR128EF349A3C","The Supremes","A Breathtaking Guy"
"TRABKEC128F424DF63","Stevie Wonder","You Haven't Done Nothin'"
"TRABLCE128F9350C11","Mayer Hawthorne","Shiny & New"
"TRABLTT128F428B03E","Aretha Franklin","Get it Right"
"TRABLUU128F1463532","112","Unbelievable"
"TRABMIY128F426EA8F","Babyface","Seven Seas"
"TRABNZK128F42AB221","James & Bobby Purify","Let Love Come Between Us"
"TRABRGV128E07999DF","Ms. Dynamite","Mr. Prime Minister"
"TRABUDK128F14943F3","Donny Hathaway","This Christmas (LP Version)"
"TRABUJK12903CA5F98","Beverlei Brown","Somebody Knows How You Feel (VRS Mix)"
"TRABWBD128F1495BA7","Johnny Gill","I Got You"
"TRABXHU128F147EDE9","The Meters","Rigor Mortis"
"TRABZQR12903CCBE06","Mary Wells","Two Lovers"
